level,tag,count
sub-article,underline,648
sub-article,contrib-id,475
sub-article,back,322
sub-article,ref-list,200
sub-article,ref,200
sub-article,mixed-citation,194
sub-article,source,195
sub-article,volume,185
sub-article,issue,172
sub-article,elocation-id,183
sub-article,fpage,182
sub-article,lpage,162
sub-article,pub-id,188
sub-article,institution-wrap,176
sub-article,institution-id,176
sub-article,disp-formula,26
sub-article,{http://www.w3.org/1998/Math/MathML}math,68
sub-article,{http://www.w3.org/1998/Math/MathML}mrow,60
sub-article,{http://www.w3.org/1998/Math/MathML}mi,60
sub-article,{http://www.w3.org/1998/Math/MathML}mo,61
sub-article,{http://www.w3.org/1998/Math/MathML}mtable,5
sub-article,{http://www.w3.org/1998/Math/MathML}mtr,5
sub-article,{http://www.w3.org/1998/Math/MathML}mtd,5
sub-article,{http://www.w3.org/1998/Math/MathML}mn,44
sub-article,{http://www.w3.org/1998/Math/MathML}mfrac,29
sub-article,{http://www.w3.org/1998/Math/MathML}msup,29
sub-article,inline-formula,58
sub-article,{http://www.w3.org/1998/Math/MathML}munder,5
sub-article,{http://www.w3.org/1998/Math/MathML}mtext,38
sub-article,{http://www.w3.org/1998/Math/MathML}munderover,10
sub-article,{http://www.w3.org/1998/Math/MathML}mstyle,33
sub-article,{http://www.w3.org/1998/Math/MathML}mover,11
sub-article,{http://www.w3.org/1998/Math/MathML}msub,40
sub-article,abstract,198
sub-article,kwd-group,197
sub-article,kwd,197
sub-article,sec,363
sub-article,table-wrap,254
sub-article,table,242
sub-article,colgroup,160
sub-article,col,174
sub-article,thead,219
sub-article,tr,242
sub-article,th,219
sub-article,tbody,242
sub-article,td,242
sub-article,table-wrap-foot,156
sub-article,person-group,69
sub-article,{http://www.w3.org/1998/Math/MathML}mspace,16
sub-article,{http://www.w3.org/1998/Math/MathML}msubsup,11
sub-article,article-categories,161
sub-article,subj-group,161
sub-article,subject,161
sub-article,suffix,19
sub-article,corresp,146
sub-article,addr-line,24
sub-article,postal-code,16
sub-article,attrib,19
sub-article,fn-group,103
sub-article,hr,35
sub-article,ack,39
sub-article,string-name,4
sub-article,funding-group,6
sub-article,award-group,6
sub-article,funding-source,6
sub-article,award-id,6
sub-article,funding-statement,3
sub-article,phone,10
sub-article,element-citation,6
sub-article,etal,5
sub-article,inline-graphic,5
sub-article,break,41
sub-article,collab,2
sub-article,publisher-name,4
sub-article,date-in-citation,1
sub-article,comment,3
sub-article,front,5
sub-article,journal-meta,5
sub-article,journal-id,5
sub-article,journal-title-group,5
sub-article,journal-title,5
sub-article,issn,5
sub-article,article-meta,5
sub-article,history,4
sub-article,date,4
sub-article,{http://www.w3.org/1998/Math/MathML}msqrt,4
sub-article,app-group,8
sub-article,app,8
sub-article,uri,6
sub-article,{http://www.w3.org/1998/Math/MathML}mfenced,7
sub-article,degrees,2
sub-article,publisher,2
sub-article,sig-block,2
sub-article,sig,2
sub-article,bio,1
sub-article,publisher-loc,3
sub-article,notes,1
sub-article,season,2
sub-article,edition,1
sub-article,conf-name,1
sub-article,conf-date,1
sub-article,conf-loc,1
sub-article,tfoot,3
sub-article,def-list,1
sub-article,def-item,1
sub-article,term,1
sub-article,def,1
sub-article,address,1
sub-article,sc,2
sub-article,alternatives,1
sub-article,tex-math,1
sub-article,monospace,2
sub-article,on-behalf-of,1
p,p,32027
p,xref,26877
p,bold,2846
p,sup,10312
p,italic,15558
p,boxed-text,3576
p,sec,1902
p,title,3347
p,list,2397
p,list-item,2397
p,ext-link,1394
p,caption,2714
p,notes,750
p,sub,3162
p,graphic,415
p,table-wrap,751
p,table,751
p,tbody,753
p,tr,753
p,td,753
p,label,978
p,alternatives,22
p,related-article,144
p,sc,507
p,underline,200
p,alt-text,270
p,break,189
p,thead,199
p,th,197
p,fig,368
p,uri,34
p,disp-formula,60
p,{http://www.w3.org/1998/Math/MathML}math,107
p,{http://www.w3.org/1998/Math/MathML}mrow,85
p,{http://www.w3.org/1998/Math/MathML}mi,90
p,{http://www.w3.org/1998/Math/MathML}msub,48
p,{http://www.w3.org/1998/Math/MathML}mtext,27
p,{http://www.w3.org/1998/Math/MathML}mo,85
p,{http://www.w3.org/1998/Math/MathML}mspace,8
p,disp-quote,136
p,inline-formula,123
p,inline-graphic,128
p,inline-supplementary-material,5
p,{http://www.w3.org/1998/Math/MathML}mn,70
p,{http://www.w3.org/1998/Math/MathML}msup,34
p,hr,20
p,table-wrap-foot,47
p,fn,44
p,attrib,34
p,{http://www.w3.org/1998/Math/MathML}mfrac,18
p,def-list,28
p,def-item,28
p,term,28
p,def,28
p,media,2
p,{http://www.w3.org/1998/Math/MathML}msubsup,15
p,styled-content,16
p,{http://www.w3.org/1998/Math/MathML}mover,7
p,{http://www.w3.org/1998/Math/MathML}munderover,3
p,{http://www.w3.org/1998/Math/MathML}mmultiscripts,2
p,{http://www.w3.org/1998/Math/MathML}none,2
p,{http://www.w3.org/1998/Math/MathML}mprescripts,1
p,tex-math,13
p,{http://www.w3.org/1998/Math/MathML}msqrt,3
p,object-id,10
p,col,21
p,colgroup,15
p,monospace,1
p,array,2
p,{http://www.w3.org/1998/Math/MathML}mfenced,5
p,{http://www.w3.org/1998/Math/MathML}mtable,3
p,{http://www.w3.org/1998/Math/MathML}mtr,3
p,{http://www.w3.org/1998/Math/MathML}mtd,3
p,strike,2
p,permissions,1
p,copyright-holder,1
p,named-content,14
p,email,1
p,supplementary-material,1
